List	ID	Language	Variety	AoA	Years	Proficiency
297	297l2353	Chinese		0	26.0	native
298	298l2354	Chinese		0	28.0	native
299	299l2355	Chinese	Mandarin	0	24.0	native
300	300l2356	Chinese		0	28.0	native
301	301l2357	Chinese		12	29.0	native
301	301l2357	French		24	3.0	beginner
302	302l2358	Chinese	Mandarin	0	25.0	native
303	303l2359	Chinese		0	23.0	native
304	304l2360	Chinese	Mandarin	0	30.0	native
305	305l2361	Japanese		0	37.0	native
306	306l2362	Japanese		0	33.0	native
307	307l2363	Japanese		0	30.0	native
308	308l2364	Chinese		0	40.0	native
308	308l2364	Japanese		20	3.0	intermediate
309	309l2365	Japanese		0	33.0	native
310	310l2366	Chinese	Mandarin	0	30.0	native
311	311l2367	Chinese	Mandarin	0	38.0	native
312	312l2368	Japanese		0	34.0	native
313	313l2369	Japanese		0	27.0	native
314	314l2370	Portuguese		0	24.0	native
314	314l2370	Spanish		23	1.0	beginner
316	316l2372	Spanish	Mexico	0	18.0	native
317	317l2373	Spanish	Peru	0	18.0	native
318	318l2374	Chinese	Mandarin	0	23.0	native
320	320l2376	Spanish	Venezuela	0	18.0	native
321	321l2377	Spanish	Spain	0	26.0	native
321	321l2377	Catalan	Spain	8	10.0	advanced
322	322l2378	Arabic	Oman	0	30.0	native
322	322l2378	Spanish		28	2.0	intermediate
323	323l2379	Arabic		15	30.0	native
325	325l2381	Spanish	Colombia	0	33.0	native
325	325l2381	French		18	2.0	beginner
326	326ls382	Arabic	Kuwait	0	23.0	native
327	327l2383	Spanish		0	25.0	native
328	328l2384	Spanish		3	5.0	native
328	328l2384	French		25	1.0	intermediate
329	329l2385	Spanish		0	34.0	native
330	330l2386	Portuguese		0	26.0	native
332	332l2388	Spanish	Colombia	9	1.0	native
333	333l2389	Japanese		0	25.0	native
334	334l2390	Spanish	Colombia	0	26.0	native
334	334l2390	French		16	8.0	intermediate
335	335l2391	Japanese		0	39.0	native
336	336l2392	Portuguese		0	28.0	native
338	338l2394	Spanish		0	27.0	native
340	340l2396	Japanese		0	31.0	native
341	341l2397	Portuguese	Portugal	0	23.0	native
342	342l2398	Portuguese		0	25.0	native
342	342l2398	French		13	7.0	advanced
342	342l2398	German		7	11.0	advanced
343	343l2399	Portuguese	Brazil	0	27.0	native
343	343l2399	Spanish		19	2.0	intermediate
343	343l2399	French		18	2.0	beginner
344	344l2400	Portuguese		0	25.0	native
344	344l2400	Spanish		20	2.0	intermediate
344	344l2400	French		14	3.0	beginner
345	345l2401	Portuguese	Brazil	0	28.0	native
345	345l2401	French	France	18	8.0	advanced
345	345l2401	Spanish	Spain	23	5.0	advanced
346	346l2402	Portuguese	Brazil	0	25.0	native
346	346l2402	Spanish		23	2.0	intermediate
347	347l2403	Portuguese	Brazil	0	29.0	native
347	347l2403	Spanish	Chile	14	7.0	advanced
347	347l2403	German	Germany	10	7.0	intermediate
347	347l2403	Italian	Italy	19	1.0	intermediate
348	348l2404	Arabic	Sudan	0	18.0	native
348	348l2404	Japanese		17	1.0	beginner
350	350l2406	Portuguese	Brazil	0	33.0	native
350	350l2406	Spanish	Brazil	18	12.0	intermediate
351	351ls407	Arabic	Egypt	4	28.0	native
352	352l2408	Portuguese	Brazil	0	26.0	native
352	352l2408	Chinese	Mandarin	25	1.0	beginner
353	353l2409	Portuguese		0	22.0	native
353	353l2409	Spanish		13	3.0	beginner
354	354l2410	Japanese		0	33.0	native
355	355l2411	Japanese		3	20.0	native
355	355l2411	Chinese	Mandarin	19	1.0	beginner
356	356l2412	Chinese		0	30.0	native
357	357l2413	Chinese	Mandarin	1	30.0	native
358	358l2414	Japanese		0	34.0	native
359	359l2415	Japanese		0	26.0	native
359	359l2415	Spanish	Spain	18	8.0	beginner
360	360l2416	Chinese	Mandarin	0	28.0	native
361	361l2417	Chinese	Mandarin	0	27.0	native
362	362l2418	Japanese		0	41.0	native
362	362l2418	Polish	Poland	28	1.0	beginner
363	363l2419	Arabic	Saudi Arabia	0	21.0	native
363	363l2419	Japanese		19	2.0	beginner
364	364l2420	Arabic	Saudi Arabia	0	19.0	native
364	364l2420	Turkish	Turkey	11	5.0	beginner
365	365l2421	Spanish	Venezuela	0	32.0	native
366	366l2422	Spanish	Chile	0	39.0	native
367	367l2423	Chinese	Mandarin	0	27.0	native
367	367l2423	Japanese		22	1.0	beginner
368	368l1424	German	Germany	15	2.0	beginner
369	369l1445	Spanish		12	30.0	advanced
369	369l1445	French		11	3.0	intermediate
369	369l1445	Portuguese		22	10.0	beginner
370	370l2446	Japanese		0	28.0	native
371	371l1427	Spanish		15	15.0	intermediate
371	371l1427	French		11	2.0	beginner
372	372l1431					
373	373l2446	Japanese		0	36.0	native
373	373l2446	French	France	32	1.0	beginner
374	374l2445	Portuguese	Brazil	0	28.0	native
375	375l1434	Spanish		5	16.0	advanced
376	376l2435	Portuguese	Brazil	0	36.0	native
377	377l2436	Japanese		0	36.0	native
378	378l2437	Arabic		1	23.0	native
379	379l2438	Portuguese	Brazil	0	34.0	native
380	380l1439	Tagalog		0	20.0	intermediate
381	381l2440	Japanese		0	21.0	native
382	382l1441					
383	383l1442					
384	384l1443					
